# H系 長パルス 送信種データ No.1
# NLFM 32u 1.63M@58.75(21.25MHz)
# パルス幅32us用
# T=38(40); B=1.63; r=5.5/T*2;
# 送信種データ(I),送信種データ(Q)
13270	,	40785
25683	,	12783
53194	,	26646
37898	,	53590
11598	,	36881
29695	,	11301
54479	,	30756
33700	,	54671
10727	,	32604
34039	,	10645
54916	,	35157
29253	,	54884
10742	,	28124
38542	,	10891
54436	,	39670
24742	,	54168
11694	,	23627
43012	,	12081
53008	,	44100
20364	,	52503
13595	,	19314
47246	,	14215
50643	,	48243
16325	,	49911
16410	,	15392
51039	,	17248
47398	,	51895
12827	,	46460
20060	,	12059
54195	,	21090
43374	,	54862
10059	,	42262
24422	,	9501
56534	,	25605
38716	,	56973
8186	,	37473
29329	,	7874
57907	,	30619
33609	,	58085
7340	,	32287
34581	,	7301
58202	,	35921
28270	,	58099
7612	,	26927
39946	,	7861
57353	,	41276
22941	,	56959
9042	,	21640
45176	,	9580
55346	,	46432
17876	,	54668
11615	,	16680
50013	,	12429
52226	,	51131
13329	,	51282
15258	,	12303
54207	,	16322
48092	,	55127
9546	,	46918
19842	,	8745
57526	,	21114
43104	,	58194
6742	,	41747
25182	,	6217
59769	,	26608
37471	,	60142
5099	,	35991
31045	,	4885
60781	,	32561
31446	,	60828
4743	,	29911
37160	,	4866
60462	,	38693
25316	,	60168
5746	,	23802
43229	,	6210
58776	,	44703
19386	,	58144
8106	,	17971
48942	,	8902
55758	,	50278
13967	,	54806
11755	,	12727
53992	,	12854
51514	,	55117
9356	,	50280
16551	,	8362
58096	,	17905
46220	,	58943
5822	,	44759
22283	,	5134
61005	,	23832
40117	,	61521
3586	,	38498
28683	,	3251
62526	,	30350
33500	,	62673
2811	,	31804
35432	,	2857
62534	,	37134
26705	,	62292
3584	,	25021
42182	,	4021
60979	,	43827
20092	,	60349
5911	,	18510
48567	,	6729
57898	,	50064
14024	,	56902
9714	,	12634
54230	,	10878
53414	,	55492
8851	,	52096
14828	,	7735
58836	,	16283
47734	,	59788
4882	,	46158
21005	,	4110
62103	,	22680
41139	,	62682
2374	,	39386
27931	,	1997
63809	,	29737
33975	,	63974
1504	,	32140
35235	,	1556
63818	,	37073
26632	,	63548
2367	,	24816
42513	,	2855
62085	,	44279
19524	,	61384
4955	,	17833
49345	,	5862
58668	,	50936
13068	,	57566
9163	,	11602
55328	,	10445
53722	,	56646
7653	,	52275
14783	,	6503
60090	,	16375
47502	,	61052
3620	,	45786
21518	,	2862
63325	,	23333
40346	,	63866
1240	,	38457
28994	,	927
64805	,	30929
32659	,	64884
691	,	30706
36780	,	850
64406	,	38721
24889	,	64008
2043	,	22989
44414	,	2677
62110	,	46244
17507	,	61250
5256	,	15777
51429	,	6334
58021	,	53033
10971	,	56741
10169	,	9520
57382	,	11634
52352	,	58657
5700	,	50724
16513	,	4622
61884	,	18281
45425	,	62744
2044	,	43543
23920	,	1416
64627	,	25887
37650	,	65011
265	,	35628
31945	,	133
65406	,	33990
29500	,	65281
507	,	27464
40091	,	889
64137	,	42085
21488	,	63502
2792	,	19567
47840	,	3672
60853	,	49648
14144	,	59729
7039	,	12475
54651	,	8377
55720	,	56154
7970	,	54187
12968	,	6658
60085	,	14671
49086	,	61183
3369	,	47240
20203	,	2504
63773	,	22164
41364	,	64388
661	,	39320
28289	,	307
65449	,	30383
33046	,	65534
51	,	30936
36703	,	237
64977	,	38793
24675	,	64520
1604	,	22639
44891	,	2325
62361	,	46838
16808	,	61386
5245	,	14984
52301	,	6458
57750	,	53971
9982	,	56317
10753	,	8496
58424	,	12383
51433	,	59700
4673	,	49632
17777	,	3629
62825	,	19718
43818	,	63616
1260	,	41770
25854	,	737
65183	,	27976
35415	,	65428
3	,	33258
34439	,	42
65311	,	36596
26798	,	64987
1013	,	24680
42940	,	1618
63174	,	44981
18564	,	62297
4246	,	16635
50759	,	5381
58897	,	52541
11299	,	57523
9498	,	9697
57339	,	11088
52759	,	58731
5527	,	50979
16418	,	4370
62196	,	18355
45176	,	63095
1676	,	43115
24530	,	1052
64965	,	26678
36678	,	65301
44	,	34481
33262	,	3
65424	,	35469
27870	,	65167
772	,	25693
41987	,	1323
63516	,	44093
19387	,	62679
3831	,	17392
50069	,	4940
59357	,	51918
11856	,	57996
9019	,	10190
56908	,	10610
53231	,	58360
5840	,	51440
15975	,	4630
61986	,	17934
45571	,	62930
1800	,	43480
24198	,	1140
64908	,	26383
36935	,	65269
56	,	34697
33087	,	1
65435	,	35336
27960	,	65181
761	,	25743
41978	,	1321
63505	,	44122
19321	,	62650
3884	,	17292
50200	,	5021
59243	,	52075
11676	,	57845
9209	,	9992
57120	,	10842
52953	,	58580
5617	,	51114
16349	,	4410
62197	,	18357
45098	,	63127
1624	,	42957
24770	,	991
65024	,	27002
36272	,	65348
22	,	33991
33832	,	17
65364	,	36116
27149	,	65050
957	,	24905
42836	,	1585
63169	,	44995
18440	,	62237
4375	,	16408
51078	,	5593
58589	,	52941
10829	,	57108
10030	,	9172
57904	,	11746
51967	,	59322
4926	,	50048
17493	,	3777
62763	,	19576
43809	,	63619
1213	,	41602
26186	,	667
65253	,	28473
34752	,	65475
