1,5.333,354.32
2,5.307,351.26
3,5.606,350.12
4,5.874,350.89
5,6.108,350.06
6,6.749,348.95
7,6.976,348.99
8,11.799,342.54
9,12.073,342.17
10,12.347,341.90
11,12.609,341.43
12,12.895,340.91
13,13.160,340.53
14,13.421,340.01
15,13.722,339.60
16,13.992,339.25
17,14.265,338.81
18,14.528,338.45
19,14.794,338.06
20,15.057,337.67
21,15.316,337.29
22,15.573,336.92
23,15.846,336.64
24,16.136,336.64
25,5.531,170.60
26,5.170,170.44
27,5.591,167.29
28,3.903,168.12
29,4.052,164.74
30,4.612,167.86
31,7.204,348.40
32,7.425,348.11
33,7.646,347.84
34,7.864,347.56
35,8.090,347.32
36,8.312,347.07
37,8.538,346.79
38,8.768,346.49
39,8.999,346.24
40,9.226,345.92
41,9.456,345.92
